Date,Original,Reseasonalized,Percent_Diff
2021-08-31,85.91,86.73726419362978,0.9629428397506545
2021-09-30,80.23,81.10001336267939,1.0843990560630525
2021-10-31,75.36,78.86801199097431,4.655005295878862
2021-11-30,92.77,85.75254808742777,-7.564354761854293
2021-12-31,94.74,94.1889520082931,-0.5816423809445798
2022-01-31,94.28,93.80439786908079,-0.5044570756461747
2022-02-28,108.78,108.4476260815592,-0.30554690057068773
2022-03-31,128.86,129.33528829332522,0.3688408298348647
2022-04-30,141.21,141.66196923286856,0.3200688569283686
2022-05-31,107.77,107.46443429690763,-0.2835350311704275
2022-06-30,112.11,112.98598180292439,0.7813592033934403
2022-07-31,88.08,89.39092289877782,1.4883320830810831
2022-08-31,89.76,88.58003168839083,-1.3145814523275097
2022-09-30,83.91,82.79990901472033,-1.3229543383144666
2022-10-31,84.45,80.53274751235736,-4.638546462572696
2022-11-30,80.58,87.49810402578902,8.585385983853339
2022-12-31,95.75,95.9638213359781,0.22331210023822068
2023-01-31,95.43,95.38057840201658,-0.051788324408912456
2023-02-28,109.99,110.04613702293177,0.0510382970558949
2023-03-31,131.77,130.99663119882155,-0.5869080983368472
2023-04-30,144.79,143.4477528328401,-0.9270302970922597
2023-05-31,109.32,109.09645141227593,-0.20449010951707625
